#v	asphericity		Error
0	0.10364841129911304	0.09679054335643203
5	0.10992159998449985	0.10160577440826478
15	0.1524031630606306	0.14063081056512836
25	0.20219917858678582	0.1674489586412607
35	0.23743766558465582	0.1816624850273344
45	0.26556633136131363	0.18959030119598547
55	0.2593498258612586	0.18741572719606184
65	0.2428629251927521	0.18269873576874954
75	0.23477648680186813	0.18203778498138076
85	0.21514186060460613	0.16816030822451658
95	0.19214363310033114	0.1564146385127243		
105	0.17569861245662455	0.14883076956062816		
115	0.1557366915599155	0.1372550949917863		
125	0.15053390531655328	0.1306410553623942		
135	0.14212185818308176	0.12365611525101457		
145	0.1341397352903529	0.11866407913949939				

