#pe  		m=0	  		 m=2    		m=3    				 m=4  			m=5			m=6
5    		12.889461316176662	7.95627864485145	1.6591902095890945		3.147421265461655	1.775414099502995	1.4612238568055678
15   		12.283196542428918	8.23745767143322	1.7797806480839822		4.211376201789019	2.026517566392664	2.0176638556330575
25   		12.150087327908786	8.435160502435524	1.753647686341864		4.556986515819159	2.0880980574840744	2.256282500631007
35   		12.373309238487876	8.312619474632747	1.7020272866703658		4.440620934653842	1.9725535453594527	2.130474309566594
45   		12.538467874240732	8.457825795514454	1.6164539905979063		4.253268685089849	1.9293810250772503	1.9115821173256735
55   		13.123883534630348	8.22292172204072	1.4120878921464213		3.7105100381263822	1.6413413466179672	1.52629706408214
65   		13.445101076888271	8.112952025313753	1.320848481756318		3.6307653872478687	1.4990585084725847	1.4645146699326992
75   		13.226412078399282	8.45760715724157	1.3583213936989373		4.268709583746834	1.5854324675316744	1.9703791343063433
85   		12.965688324610252	8.714154785472854	1.3601453724857255		4.678929823163233	1.6860861970944714	2.3741549549860492
95   		12.916324111573616	8.675309542465925	1.3600811484734847		4.789241040947407	1.640317599106491	2.530235453647036			
105  		12.850257010071603	8.684261003126032	1.3604612338548374		4.918926102018517	1.6441854815993167	2.656600765020148	
115  		12.828005265688658	8.647365012324126	1.3475030253077531		4.996639370840203	1.616692252445024	2.778375404192042			
125  		12.78508306665517	8.744838766675665	1.31322434797998		5.177518117964679	1.6075451224332247	2.9426298444864476			
135  		12.767452526513763	8.664464197371974	1.3162111891993924		5.174192633625837	1.5955996370148697	2.9723800969454715	
145  		12.778745001498018	8.45946338835038	1.367114653554036		5.028393401079015	1.5930261458889585	2.9330050945284443			
