#v	asphericity		Error
0	0.10605403836638365	0.09892171319603112
5	0.14069993269782702	0.13361363147242677
15	0.323773533899339	0.20423664917914044
25	0.4202386908899088	0.20321058845842685
35	0.4447708447569477	0.19636179244633556
45	0.4199311931239315	0.19985369177923054
55	0.3714582489979901	0.2021533882241271
65	0.30441763631586316	0.19371018035946355
75	0.2527823095110952	0.17817172672997428
85	0.21109373243232424	0.16096736948469562
95	0.18889830681006814	0.145337232546567		
105	0.18966941420464203	0.14748069584001555		
115	0.2011714846373465	0.155895381994589
125	0.22320691093610942	0.1697853538569638		
135	0.23851756422964224	0.18463811021992563		
145	0.2578746952964530	0.19428545002381895				
		
