#pe  		m=0	  		 m=2    		m=3    				 m=4  			m=5			m=6
0    7.474585510622605  	1.5297663895968965         0.6212399735202354		0.4334403134011338	0.30722932364473654	0.26272733477184773
5    7.401526666247658   	 1.762046248763987	   0.6427112474634747		0.4859055127426274	0.34095870516755156	0.29746376055760554
15   7.001556715158153   	 2.8638617157526594    	   0.7292427194976956		0.8519254665476652	0.553906530926809	0.4905018913219132
25   6.757719197735977   	 3.3755405151021525	   0.7829073951329516		1.1218534009770098	0.7004192984864839	0.6021061661586617
35   6.701974926937772   	 3.5065748661371576	   0.78414635600756		1.1995392625401247	0.730369006314063	0.6279228155481557
45   6.743830278409783   	 3.373104835698855          0.790762247261973		1.1230794831958313	0.7045112775052752	0.6046579209137092
55   6.850585473281231   	 3.120670857691079          0.7708729720862206		0.9875202935009351	0.6370446736302364	0.549104333331333
65   6.998803654958052   	 2.759630730010799  	   0.7473501472269717		0.8145780621981219	0.5492513051260515	0.4749721592910932
75   7.105120562348118		 2.4722749059070606	   0.7383623296727968		0.7024136491269912	0.48341478219782186	0.4178943506890068
85   7.184462381337312   	 2.2252262673716734	   0.7254207298727989		0.6202379509905099	0.43785405944859396	0.3752476369008689
95   7.215812745736463		 2.09616439917849	   0.7345466341308415		0.5842466587970879   	0.4139801835303355	0.3523693583785839											
105  7.194356273994239		 2.095756583068332	   0.7500837097950978		0.5958331112846129	0.41982419855398545	0.3589749448834487										
115  7.1563130156766555		 2.1588489405914055	   0.7676824273377735		0.6217806484374837	0.43636142961079605	0.37423187563275656											
125  7.098055963040628		 2.282830752860027	   0.779217425866759		0.6762007066705665	0.4647323266207662	0.40149448690086864											
135  7.04567986640967		 2.3558888139726397	   0.7983832033230333		0.7304529521565211	0.49291716388063855	0.42355341469164703									
145  6.992832962074626		 2.460200259632099	   0.8106063672716728		0.7887328902494024	0.5221776134666347	0.44855418548735493											
