#v	asphericity		Error
0	0.11464841129911304	0.09679054335643203	
5	0.5062320379883799	0.2037689294407857
15	0.5787737959449596	0.2221197419810377
25	0.5851368741867419	0.2254771750984486
35	0.594120240601906	0.23421706616542778
45	0.5620788713642138	0.24188139965974617
55	0.5440151900349004	0.2410068004185265
65	0.5703611346888469	0.19072825071053048
75	0.5507469644296444	0.15835669496837076
85	0.5867518703952039	0.13634170044299085
95	0.62521892299023	0.14192402777387178	
105	0.6637975693291933	0.15865380269732823	
115	0.6721292933164331	0.17738168415356015
125	0.6759118040325403	0.18642668032557966		
135	0.6735438906709066	0.20192135083438156		
#145	0.6663684698246982	0.20928218233947266			
				

